hid,pid,pilabour,sex,age,marital,disabled,educlev,lfs,status1,ind1_c,occ1_c,hilabour,nhhmem,hpopwgt
38,2.0,2238.79931640625,[2]female,54,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,[2]office worker,56194.94885253906,[4]4 hh members,1738.845458984375
38,3.0,30234.005859375,[1]male,30,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[3]manufacturing,[2]office worker,56194.94885253906,[4]4 hh members,1738.845458984375
43,2.0,20613.646484375,[1]male,51,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",20613.646484375,[5]5 hh members,823.552490234375
73,1.0,19496.3828125,[1]male,50,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[7]wholesale and retail trade; repair of motor vehicles and motorcycles,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",38642.6962890625,[4]4 hh members,1230.29150390625
94,1.0,19241.666015625,[1]male,56,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,[2]office worker,44564.36328125,[3]3 hh members,1128.865966796875
94,2.0,25322.697265625,[2]female,53,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",44564.36328125,[3]3 hh members,1128.865966796875
119,1.0,29132.849151611328,[2]female,58,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[17]human health and social work activities,[2]office worker,66841.90042114258,[2]2 hh members,782.4553833007812
119,2.0,37709.05126953125,[1]male,60,[110]married,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[10]information and communication,"[5]senior manager, senior official, school head, director of studies, university teacher, magistrate",66841.90042114258,[2]2 hh members,782.4553833007812
128,2.0,14454.4365234375,[1]male,57,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[15]public administration and defence; compulsory social security,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",33906.0244140625,[3]3 hh members,519.3807983398438
153,2.0,19061.91015625,[1]male,51,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,[2]office worker,19061.91015625,[2]2 hh members,559.7462768554688
156,1.0,4722.5263671875,[2]female,47,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[20]activities of households as employers; undifferentiated goods and services-producing activities of households for own use,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",39444.9052734375,[4]4 hh members,1046.9766845703125
156,2.0,34722.37890625,[1]male,51,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",39444.9052734375,[4]4 hh members,1046.9766845703125
158,2.0,8748.99609375,[1]male,48,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[120]non regular employee,[8]transportation and storage,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",8748.99609375,[4]4 hh members,2248.958740234375
173,1.0,27476.2734375,[2]female,51,[210]never married/not in union,[0]not disabled,[312]bachelor or equivalent,[100]employed,[110]regular employee,[16]education,"[3]school teacher (all schools, including teacher with term appointment, special contract or similar)",27476.2734375,[3]3 hh members,848.0711059570312
185,1.0,4925.5361328125,[2]female,51,[223]widowed,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,"[1]agriculture, forestry and fishing","[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",6680.695556640625,[3]3 hh members,9957.2734375
202,1.0,41405.68359375,[1]male,57,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,"[1]agriculture, forestry and fishing",[2]office worker,41405.68359375,[2]2 hh members,1172.4541015625
214,1.0,11764.5673828125,[1]male,45,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[19]other service activities,[2]office worker,11764.5673828125,[1]1 hh member,5740.6279296875
221,1.0,9321.982421875,[1]male,47,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",21129.23828125,[4]4 hh members,2428.038818359375
221,2.0,11807.255859375,[2]female,40,[110]married,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[17]human health and social work activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",21129.23828125,[4]4 hh members,2428.038818359375
234,1.0,30544.35076904297,[2]female,56,[110]married,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[11]financial and insurance activities,[2]office worker,50308.92156982422,[2]2 hh members,6735.4326171875
248,3.0,9114.107421875,[2]female,36,[210]never married/not in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[9]accommodation and food service activities,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",34140.23046875,[3]3 hh members,788.1685180664062
249,2.0,14038.130859375,[1]male,56,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,"[1]agriculture, forestry and fishing","[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",14038.130859375,[3]3 hh members,2048.039306640625
362,1.0,25288.939453125,[2]female,49,[220]formerly married/in union,[0]not disabled,[210]upper secondary,[100]employed,[110]regular employee,[17]human health and social work activities,[2]office worker,25288.939453125,[1]1 hh member,3048.189453125
367,2.0,24476.80078125,[1]male,58,[110]married,[0]not disabled,[120]primary,[100]employed,[110]regular employee,[8]transportation and storage,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",24476.80078125,[2]2 hh members,1435.570068359375
376,3.0,22383.4765625,[1]male,43,[210]never married/not in union,[0]not disabled,[130]lower secondary,[100]employed,[110]regular employee,[3]manufacturing,"[1]blue-collar worker or similar (including employee, apprentice, homeworker and sales assistant)",22383.4765625,[3]3 hh members,731.513916015625
380,1.0,36798.6640625,[2]female,45,[110]married,[0]not disabled,[311]short-cycle tertiary,[100]employed,[110]regular employee,[17]human health and social work activities,[2]office worker,68846.80859375,[2]2 hh members,5689.7978515625
