hid,pid,sex,relation,inum_x,age,marital,health_c,educlev,status1,ind1_c,occ1_c,basb,bafr1_c,hpopwgt,hhtype,inum_y,saves,y_tilde,groups
3,1,[1]male,[1000]head,1,30,[110]married,[2]good,[210]upper secondary,[100]dependent employed,[4]wholesale and retail trade,"[2]technical, sales, and administrative support occupations",[20]saves,[4]not willing to take any financial risks,24999.50486026731,[220]couple with children,1,1,1,0
4,1,[2]female,[1000]head,1,33,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services","[2]technical, sales, and administrative support occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,28464.704753485352,[230]one parent with children,1,0,1,0
5,1,[1]male,[1000]head,1,41,[110]married,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,30755.991182126465,[220]couple with children,1,1,1,0
6,1,[2]female,[1000]head,1,25,[210]never married/not in union,[2]good,[210]upper secondary,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[2]take above average financial risks expecting to earn above average returns,15542.99345297379,[100]one person household,1,1,1,0
7,1,[1]male,[1000]head,1,29,[210]never married/not in union,[2]good,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,13147.639905483264,[100]one person household,1,1,1,0
10,1,[2]female,[1000]head,1,48,[222]divorced,[1]excellent,[311]short-cycle tertiary,[100]dependent employed,[3]manufacturing,"[2]technical, sales, and administrative support occupations",[11]does not save: expenses exceed income,[4]not willing to take any financial risks,25129.53230435798,[230]one parent with children,1,0,1,0
14,1,[1]male,[1000]head,1,45,[210]never married/not in union,[3]fair,[312]bachelor or equivalent,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,11559.74959859062,[100]one person household,1,1,1,0
16,1,[1]male,[1000]head,1,45,[110]married,[1]excellent,[312]bachelor or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[2]take above average financial risks expecting to earn above average returns,2452.6325427309525,[220]couple with children,1,1,1,0
20,1,[1]male,[1000]head,1,61,[110]married,[2]good,[320]doctorate or equivalent,[200]self-employed,"[5]finance, insurance and real estate, business and repair services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,147.55347283553596,[210]couple without children,1,1,1,0
21,1,[2]female,[1000]head,1,55,[222]divorced,[3]fair,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,23022.96831753912,[230]one parent with children,1,1,1,0
23,1,[2]female,[1000]head,1,30,[210]never married/not in union,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,21855.01583989941,[230]one parent with children,1,0,1,0
25,1,[1]male,[1000]head,1,68,[120]in consensual union,[4]poor,[130]lower secondary,[100]dependent employed,[4]wholesale and retail trade,[3]service occupations (including armed forces),[11]does not save: expenses exceed income,[4]not willing to take any financial risks,29393.209488268152,[210]couple without children,1,0,1,0
26,1,[1]male,[1000]head,1,27,[120]in consensual union,[1]excellent,[210]upper secondary,[100]dependent employed,"[5]finance, insurance and real estate, business and repair services","[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[4]not willing to take any financial risks,21364.841252422728,[220]couple with children,1,0,1,0
28,1,[1]male,[1000]head,1,74,[110]married,[2]good,[313]master or equivalent,[200]self-employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,133.52630158711722,[220]couple with children,1,1,1,0
29,1,[1]male,[1000]head,1,42,[110]married,[1]excellent,[312]bachelor or equivalent,[100]dependent employed,[3]manufacturing,[1]managerial and professional occupations,[20]saves,[4]not willing to take any financial risks,27879.44953540837,[220]couple with children,1,1,1,0
30,1,[1]male,[1000]head,1,50,[120]in consensual union,[2]good,[210]upper secondary,[100]dependent employed,[3]manufacturing,"[4]precision production, craft, and repair occupations",[12]does not save: expenses about the same as income,[2]take above average financial risks expecting to earn above average returns,35221.473230226016,[210]couple without children,1,0,1,0
31,1,[1]male,[1000]head,1,51,[110]married,[2]good,[210]upper secondary,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[3]service occupations (including armed forces),[20]saves,[2]take above average financial risks expecting to earn above average returns,17664.5266372464,[220]couple with children,1,1,1,0
32,1,[1]male,[1000]head,1,42,[110]married,[2]good,[312]bachelor or equivalent,[100]dependent employed,[3]manufacturing,"[4]precision production, craft, and repair occupations",[20]saves,[2]take above average financial risks expecting to earn above average returns,17522.91988596979,[320]couple with children and relatives,1,1,1,0
33,1,[2]female,[1000]head,1,57,[222]divorced,[1]excellent,[313]master or equivalent,[100]dependent employed,"[6]transport, communic. and other public utilities, entertainment, personal, professional & related services",[1]managerial and professional occupations,[20]saves,[3]take average financial risks expecting to earn average returns,27683.626530085774,[100]one person household,1,1,1,0
34,1,[1]male,[1000]head,1,55,[110]married,[2]good,[311]short-cycle tertiary,[100]dependent employed,[2]mining and construction,"[4]precision production, craft, and repair occupations",[20]saves,[3]take average financial risks expecting to earn average returns,17409.105452371572,[210]couple without children,1,1,1,0
